Year,District,Crop,Season,Area_Hectares,Production_Tonnes,Productivity_Tonnes_per_Hectare,Sowing_Period,Harvest_Period,Weather_Impact_Factor,Category
2014,Alappuzha,Rice,Virippu,23058.8,72971.99,3.165,April-May,September-October,1.0,Food Crop
2014,Alappuzha,Rice,Mundakan,16260.05,58371.9,3.59,September-October,December-January,1.0,Food Crop
2014,Alappuzha,Rice,Puncha,6670.97,20947.26,3.14,December-January,March-April,1.0,Food Crop
2014,Thrissur,Rice,Virippu,18881.81,64131.38,3.396,April-May,September-October,1.0,Food Crop
2014,Thrissur,Rice,Mundakan,11962.45,39941.36,3.339,September-October,December-January,1.0,Food Crop
2014,Thrissur,Rice,Puncha,5128.35,15799.29,3.081,December-January,March-April,1.0,Food Crop
2014,Palakkad,Rice,Virippu,15181.47,41144.83,2.71,April-May,September-October,1.0,Food Crop
2014,Palakkad,Rice,Mundakan,9594.42,29321.06,3.056,September-October,December-January,1.0,Food Crop
2014,Palakkad,Rice,Puncha,4272.11,14014.44,3.28,December-January,March-April,1.0,Food Crop
2014,Ernakulam,Rice,Virippu,11932.48,33869.76,2.838,April-May,September-October,1.0,Food Crop
2014,Ernakulam,Rice,Mundakan,9391.22,29509.11,3.142,September-October,December-January,1.0,Food Crop
2014,Ernakulam,Rice,Puncha,3762.66,10668.14,2.835,December-January,March-April,1.0,Food Crop
2014,Kottayam,Rice,Virippu,9727.81,31405.22,3.228,April-May,September-October,1.0,Food Crop
2014,Kottayam,Rice,Mundakan,6597.15,21745.39,3.296,September-October,December-January,1.0,Food Crop
2014,Kottayam,Rice,Puncha,2909.9,9094.4,3.125,December-January,March-April,1.0,Food Crop
2014,Kollam,Rice,Virippu,8729.23,32072.8,3.674,April-May,September-October,1.0,Food Crop
2014,Kollam,Rice,Mundakan,6295.75,18441.67,2.929,September-October,December-January,1.0,Food Crop
2014,Kollam,Rice,Puncha,2811.04,8116.79,2.887,December-January,March-April,1.0,Food Crop
2014,Thiruvananthapuram,Rice,Virippu,7578.32,20448.78,2.698,April-May,September-October,1.0,Food Crop
2014,Thiruvananthapuram,Rice,Mundakan,4901.35,15931.33,3.25,September-October,December-January,1.0,Food Crop
2014,Thiruvananthapuram,Rice,Puncha,2333.08,7568.2,3.244,December-January,March-April,1.0,Food Crop
2014,Malappuram,Coconut,Whole Year,104392.85,764086505.75,7319.338,Year-round,Year-round,1.0,Plantation
2014,Kozhikode,Coconut,Whole Year,106498.5,752741342.73,7068.093,Year-round,Year-round,1.0,Plantation
2014,Kannur,Coconut,Whole Year,81088.35,659594795.93,8134.273,Year-round,Year-round,1.0,Plantation
2014,Thrissur,Coconut,Whole Year,80357.29,517675812.03,6442.176,Year-round,Year-round,1.0,Plantation
2014,Thiruvananthapuram,Coconut,Whole Year,72150.5,524458408.68,7268.951,Year-round,Year-round,1.0,Plantation
2014,Ernakulam,Coconut,Whole Year,62800.0,494047990.09,7867.006,Year-round,Year-round,1.0,Plantation
2014,Kollam,Coconut,Whole Year,57835.25,466080855.52,8058.768,Year-round,Year-round,1.0,Plantation
2014,Wayanad,Pepper,Whole Year,14370.59,4905.29,0.341,June-July,December-February,1.0,Spice
2014,Idukki,Pepper,Whole Year,18298.14,6904.17,0.377,June-July,December-February,1.0,Spice
2014,Kottayam,Pepper,Whole Year,11712.5,4038.49,0.345,June-July,December-February,1.0,Spice
2014,Pathanamthitta,Pepper,Whole Year,9446.83,2989.98,0.317,June-July,December-February,1.0,Spice
2014,Kozhikode,Pepper,Whole Year,8325.01,3229.89,0.388,June-July,December-February,1.0,Spice
2014,Palakkad,Pepper,Whole Year,5978.4,2260.43,0.378,June-July,December-February,1.0,Spice
