District,Crop,Season,Category,Planting_Period,Harvest_Period,Is_Major_District,Cultivation_Type
Thiruvananthapuram,Coconut,Year-round,Plantation,May-June (monsoon onset),Year-round,True,Intensive
Thiruvananthapuram,Rice,Virippu (Kharif),Food Crop,April-May,September-October,False,Moderate
Thiruvananthapuram,Rice,Mundakan (Rabi),Food Crop,April-May,September-October,False,Moderate
Thiruvananthapuram,Rice,Puncha (Summer),Food Crop,April-May,September-October,False,Moderate
Thiruvananthapuram,Banana,Year-round,Food Crop,"April-May, September-October",10-12 months after planting,True,Intensive
Kollam,Coconut,Year-round,Plantation,May-June (monsoon onset),Year-round,False,Moderate
Kollam,Rice,Virippu (Kharif),Food Crop,April-May,September-October,False,Moderate
Kollam,Rice,Mundakan (Rabi),Food Crop,April-May,September-October,False,Moderate
Kollam,Rice,Puncha (Summer),Food Crop,April-May,September-October,False,Moderate
Kollam,Rubber,Year-round tapping,Plantation,May-July,Year-round,True,Intensive
Kollam,Banana,Year-round,Food Crop,"April-May, September-October",10-12 months after planting,True,Intensive
Pathanamthitta,Rubber,Year-round tapping,Plantation,May-July,Year-round,True,Intensive
Pathanamthitta,Pepper,Monsoon planting,Spice,June-July (monsoon),December-February,True,Intensive
Pathanamthitta,Pepper,Harvest season,Spice,June-July (monsoon),December-February,True,Intensive
Pathanamthitta,Ginger,Monsoon season,Spice,April-May,December-January,False,Moderate
Pathanamthitta,Rice,Virippu (Kharif),Food Crop,April-May,September-October,False,Moderate
Pathanamthitta,Rice,Mundakan (Rabi),Food Crop,April-May,September-October,False,Moderate
Pathanamthitta,Rice,Puncha (Summer),Food Crop,April-May,September-October,False,Moderate
Pathanamthitta,Cardamom,Main season,Spice,May-June,October-December,False,Moderate
Pathanamthitta,Cardamom,Secondary season,Spice,May-June,October-December,False,Moderate
Alappuzha,Rice,Virippu (Kharif),Food Crop,April-May,September-October,True,Intensive
Alappuzha,Rice,Mundakan (Rabi),Food Crop,April-May,September-October,True,Intensive
Alappuzha,Rice,Puncha (Summer),Food Crop,April-May,September-October,True,Intensive
Alappuzha,Coconut,Year-round,Plantation,May-June (monsoon onset),Year-round,False,Moderate
Alappuzha,Banana,Year-round,Food Crop,"April-May, September-October",10-12 months after planting,False,Moderate
Kottayam,Rubber,Year-round tapping,Plantation,May-July,Year-round,True,Intensive
Kottayam,Rice,Virippu (Kharif),Food Crop,April-May,September-October,True,Intensive
Kottayam,Rice,Mundakan (Rabi),Food Crop,April-May,September-October,True,Intensive
Kottayam,Rice,Puncha (Summer),Food Crop,April-May,September-October,True,Intensive
Kottayam,Pepper,Monsoon planting,Spice,June-July (monsoon),December-February,True,Intensive
Kottayam,Pepper,Harvest season,Spice,June-July (monsoon),December-February,True,Intensive
Kottayam,Coconut,Year-round,Plantation,May-June (monsoon onset),Year-round,False,Moderate
Idukki,Cardamom,Main season,Spice,May-June,October-December,True,Intensive
Idukki,Cardamom,Secondary season,Spice,May-June,October-December,True,Intensive
Idukki,Pepper,Monsoon planting,Spice,June-July (monsoon),December-February,True,Intensive
Idukki,Pepper,Harvest season,Spice,June-July (monsoon),December-February,True,Intensive
Idukki,Tea,Year-round harvesting,Plantation,May-June,Year-round,True,Intensive
Idukki,Coffee,Harvest season,Plantation,June-July,November-January,True,Intensive
Idukki,Ginger,Monsoon season,Spice,April-May,December-January,False,Moderate
Ernakulam,Coconut,Year-round,Plantation,May-June (monsoon onset),Year-round,False,Moderate
Ernakulam,Rice,Virippu (Kharif),Food Crop,April-May,September-October,True,Intensive
Ernakulam,Rice,Mundakan (Rabi),Food Crop,April-May,September-October,True,Intensive
Ernakulam,Rice,Puncha (Summer),Food Crop,April-May,September-October,True,Intensive
Ernakulam,Banana,Year-round,Food Crop,"April-May, September-October",10-12 months after planting,True,Intensive
